[subject]	object	u
od:Veiligheidsvoorschriften	Gevaarshandeling and Nalaten
od:Voorzorgsmaatregelen	Doen and Nalaten
od:Aansprakelijkheid_voor_personen	heeft_handeling some Verkeershandeling
od:Schepen	Algemene_handeling and Beslag_gelegd
Algemene_handeling	od:Eigendomsvoorbehoud
od:Aard_van_de_fout	Nalaten and Verkeershandeling and Werkhandeling
od:Bestaan_van_andere_gegevens	Inbreukhandeling and Nalaten and Werkhandeling
od:Fabrikant_van_een_onderdeel	Nalaten and Werkhandeling
od:Hoedanigheid_van_de_gegevensverstrekker	Nalaten and Werkhandeling
od:Art_6_175_lid_1	Nalaten and Werkhandeling
Werkhandeling	od:Zeggenschap
od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt	Doen and Nalaten
od:Product_dat_niet_de_veiligheid_biedt	Nalaten and Werkhandeling
od:Kwalitatieve_aansprakelijkheid	heeft_handeling some Algemene_handeling
Werkhandeling	od:Krachtens_volmacht
od:Bezwaarlijkheid_veiligheidsmaatregelen	Gevaarshandeling and Hinderhandeling and Nalaten
Werkhandeling	od:Hulppersonen
od:Persoonlijke_aansprakelijkheid	heeft_handeling some Handeling
Werkhandeling	od:Afwijking_van_de_normaalbladen
Werkhandeling	od:Kansvergroting
od:Redelijkerwijs_te_verwachten_gebruik	Nalaten and Werkhandeling
od:Kenbaarheid	Doen and Nalaten
Werkhandeling	od:Tijdstip_van_de_fout
od:Verklaringen_over_en_weer	Nalaten and Wanprestatie and Werkhandeling and Zorgplicht
od:Blootstelling_aan_verdachtmaking	Inbreukhandeling and Nalaten and Werkhandeling
Werkhandeling	od:Praktische_indicatoren
od:Gebruiksmogelijkheden	Nalaten and Werkhandeling
od:Toestemming_van_de_benadeelde	Doen and Nalaten
od:Krachtens_amvb	Doen and Nalaten
od:Vergunninghouder	Hinderhandeling and Inbreukhandeling and Nalaten
od:Veroudering_van_gegevens	Nalaten and Werkhandeling
od:Medebezitter	Gevaarshandeling and Nalaten
od:Legaal_storten	Inbreukhandeling and Nalaten and Werkhandeling
od:Aanbieder	Gevaarshandeling and Inbreukhandeling and Nalaten and Werkhandeling and Zorgplicht
od:Presentatie_van_het_product	Inbreukhandeling and Nalaten and Werkhandeling
Werkhandeling	od:Betalingsvoorwaarden
Werkhandeling	od:Opgedragen_taak
Werkhandeling	od:Werkzaamheden_met_een_incidenteel_karakter
od:Krachtens_wet	Doen and Nalaten
od:Zoeken_van_de_publiciteit	Inbreukhandeling and Werkhandeling
od:Verklaring_of_beoordeling	Inbreukhandeling and Werkhandeling
od:Fabrikant_van_een_eindproduct	Nalaten and Werkhandeling
od:Kans_dat_anderen_niet_goed_opletten	Gevaarshandeling and Nalaten and Verkeershandeling
od:Ieder_die_zich_als_producent_presenteert	Inbreukhandeling and Werkhandeling
od:Tijdstip_waarop_het_product_in_het_verkeer_is_gebracht	Nalaten and Werkhandeling
od:Hulpmiddel	Inbreukhandeling and Nalaten and Werkhandeling
Algemene_handeling	od:Goed_houden_voor_een_ander
od:Aard_van_de_schade	Doen and Nalaten
od:Verzekerbaarheid_van_de_schade	Doen and Nalaten
od:Uitvoerbaareid_overeenkomst	Nalaten and Wanprestatie
od:Gevaarlijke_toestand	Gevaarshandeling and Nalaten
Algemene_handeling	od:Luchtvaartuigen
Inbreukhandeling	od:Recht_op_vrijheid_van_meningsuiting
od:Opdracht	Werkhandeling and Zorgplicht
od:Tolerantiegrenzen	Nalaten and Werkhandeling
od:Beoordeling_rangorde_grondrechten	Hinderhandeling and Inbreukhandeling
od:Stoffelijke_objecten	Algemene_handeling and Beslag_gelegd
od:Omvang_van_de_voorraad	Nalaten and Werkhandeling
od:Stand_van_techniek_en_ontwikkelingsrisico	Nalaten and Werkhandeling
od:Onmiddelijk_gevaar	Gevaarshandeling and Nalaten and Verkeershandeling
od:Onjuistheid_van_de_gegevens	Nalaten and Werkhandeling
od:Dier_als_instrument	Gevaarshandeling and Hinderhandeling and Nalaten
od:Doel_te_bereiken_via_andere_weg	Inbreukhandeling and Nalaten and Werkhandeling
od:Garantie	Nalaten and Werkhandeling
od:Aansprakelijkheid_voor_niet-ondergeschikten	heeft_handeling some Werkhandeling
Algemene_handeling	od:Goed_houden_voor_zichzelf
od:Verkeersopvatting	Doen and Nalaten
od:Aanwijzingsbevoegdheid	Inbreukhandeling and Nalaten and Werkhandeling
od:Exploitant_stortplaats_zonder_vergunning	Nalaten and Werkhandeling
od:Voortbestaan_niet_bekende_misstanden	Inbreukhandeling and Nalaten and Werkhandeling
od:Bekendwording_20_jaar_na_sluiting	Nalaten and Werkhandeling
od:Kans_dat_daardoor_ongevallen_ontstaan	Gevaarshandeling and Nalaten and Verkeershandeling
od:Maatschappelijke_betamelijkheid	Doen and Nalaten
Werkhandeling	od:Producent_van_een_grondstof
od:Onnodig_grievend	Inbreukhandeling and Werkhandeling
od:Onrechtmatige_daad	(od:heeft_vereiste some od:Causaliteit_vestigingsfase) and (od:heeft_vereiste some od:Onrechtmatigheid) and (od:heeft_vereiste some od:Pleger_onrechtmatige_daad) and (od:heeft_vereiste some od:Relativiteit) and (od:heeft_vereiste some od:Schade) and (od:heeft_vereiste some od:Toerekening_vestigingsfase)
od:Relativiteit	not od:Correctie_langemeijer and (od:heeft_vereiste some od:Norm_ter_bescherming_schade)
od:Groep	(od:heeft_deelnemer some od:Groepsdeelnemer) and (od:heeft_deelnemer min 2)
od:Toerekening_krachtens_wet	((od:Persoon and (od:heeft_toestand some od:Lichamelijke_tekortkoming)) or (od:heeft_toestand some od:Geestelijke_tekortkoming)) and not od:Kind_jonger_dan_14_jaar
od:Relativiteit	not od:Norm_ter_bescherming_schade and (od:heeft_vereiste some od:Correctie_langemeijer)
od:Inbreukcriterium	(((od:heeft_vereiste some od:Onbevoegd_uitoefenen_bevoegdheden) or (od:heeft_vereiste some od:Verhindering_in_de_uitoefening_van_bevoegdheden)) and not (od:heeft_vereiste some od:Onbevoegd_uitoefenen_bevoegdheden) and (od:heeft_vereiste some od:Verhindering_in_de_uitoefening_van_bevoegdheden)) and (od:heeft_vereiste some od:Subjectief_recht)
od:Toerekening_vestigingsfase	(not od:betreft_persoon some od:Kind_jonger_dan_14_jaar and (od:betreft_persoon some od:Kind_16_jaar_en_ouder) and (od:betreft_persoon some od:Kind_tussen_de_14_en_16_jaar) and (od:betreft_persoon some od:Volwassene)) and (od:heeft_vereiste some od:Onrechtmatigheid)
od:Aansprakeljkheid	(od:heeft_relatie_met some od:Wetsbepaling) and (od:heeft_vereiste some od:Toerekening_omvangsfase)
