[subject]	object	i
od:Art_6_175_lid_6	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Eigen_energie_van_het_dier	Gevaarshandeling and Hinderhandeling and Nalaten	[Gevaarshandeling, Hinderhandeling, Nalaten]
od:Handelen_in_strijd_met_een_wettelijke_plicht	Doen and Nalaten	[Doen, Nalaten]
Inbreukhandeling	od:Intensiteit_van_de_inbreuk	
od:Roerende_zaak	Beslag_gelegd and Nalaten	[Beslag_gelegd, Nalaten]
od:Bodembeweging	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Ernst_en_duur	Doen and Nalaten	[Doen, Nalaten]
od:Aard_van_de_aanwijzing	Nalaten and Verkeershandeling and Werkhandeling	[Nalaten, Verkeershandeling, Werkhandeling]
od:Overtreding_gebruiksvoorschriften_bij_de_sluiting	Inbreukhandeling and Nalaten	[Inbreukhandeling, Nalaten]
od:Aansprakelijkheid_voor_vertegenwoordigers	(heeft_handeling some Inbreukhandeling) or (heeft_handeling some Wanprestatie) or (heeft_handeling some Werkhandeling)	
od:Houder_van_een_dier	Gevaarshandeling and Hinderhandeling and Nalaten	[Gevaarshandeling, Hinderhandeling, Nalaten]
od:Onbehoorlijk_aanhaken_producten_of_diensten	Inbreukhandeling and Werkhandeling	[Inbreukhandeling, Werkhandeling]
od:Onroerende_zaken	Beslag_gelegd and Werkhandeling	[Beslag_gelegd, Werkhandeling]
od:Aantasting_kwaliteit_van_leven	Hinderhandeling and Inbreukhandeling and Nalaten	[Hinderhandeling, Inbreukhandeling, Nalaten]
od:Dier	Gevaarshandeling and Hinderhandeling and Nalaten	[Gevaarshandeling, Hinderhandeling, Nalaten]
Werkhandeling	od:Gezagsverhouding	
od:Beschikbare_alternatieven	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
od:Persoon_van_de_laedens	Doen and Nalaten	[Doen, Nalaten]
od:Omstandigheden_van_het_geval	Doen and Nalaten	[Doen, Nalaten]
Werkhandeling	od:Beschermingsbehoefte	
od:Prijs_van_het_product	Inbreukhandeling and Werkhandeling	[Inbreukhandeling, Werkhandeling]
od:Wijze_of_tijdstip_van_vervaardigen_van_het_product	Inbreukhandeling and Werkhandeling	[Inbreukhandeling, Werkhandeling]
od:Eigenaar_van_een_dier	Gevaarshandeling and Hinderhandeling and Nalaten	[Gevaarshandeling, Hinderhandeling, Nalaten]
Werkhandeling	od:Redelijk_bekwaam_vakgenoot	
od:Steun_van_verdenking_in_feitenmateriaal	Inbreukhandeling and Werkhandeling	[Inbreukhandeling, Werkhandeling]
od:Illegaal_storten	Nalaten and Werkhandeling	[Nalaten, Werkhandeling]
